,predicciones,valor real,diferencia
463,211300.66646582968,211300.0,1.0
915,232597.75617696004,232600.0,2.0
7416,153503.87604932536,153500.0,4.0
8525,226882.45538489913,226900.0,18.0
8273,232475.22760991924,232500.0,25.0
18795,65770.03475699425,65800.0,30.0
7860,195765.86388261875,195800.0,34.0
4485,111835.02611304287,111800.0,35.0
5880,251762.84296861783,251800.0,37.0
13880,101958.24764208662,102000.0,42.0
14951,155042.3569436087,155000.0,42.0
15172,278046.28284109884,278000.0,46.0
19635,124944.48786612813,125000.0,56.0
6183,185460.0366917406,185400.0,60.0
10848,243363.2133835832,243300.0,63.0
11856,82433.77019892537,82500.0,66.0
14445,290527.4912090178,290600.0,73.0
17468,331126.5332282395,331200.0,73.0
6127,153476.79232715102,153400.0,77.0
2247,53580.180529242556,53500.0,80.0
667,184686.1315933138,184600.0,86.0
19097,181987.4162552782,181900.0,87.0
12253,112591.6943242382,112500.0,92.0
20227,192607.41704754424,192700.0,93.0
8030,213295.225067661,213200.0,95.0
19282,152204.56524431522,152300.0,95.0
19533,76397.21225122857,76300.0,97.0
376,95300.17396304579,95200.0,100.0
7255,175407.25828527423,175300.0,107.0
4022,212993.31759159782,213100.0,107.0
1267,119289.05058613096,119400.0,111.0
13349,157887.07322470986,158000.0,113.0
3691,154415.4448872429,154300.0,115.0
556,243277.48330439956,243400.0,123.0
10220,162373.66250711758,162500.0,126.0
14497,204326.5839857719,204200.0,127.0
13674,138343.35073825656,138200.0,143.0
11070,247155.3180214844,247300.0,145.0
6512,152146.89722615413,152000.0,147.0
14426,258449.49283442032,258300.0,149.0
15402,162648.70749139055,162500.0,149.0
19824,110148.8218594185,110300.0,151.0
16761,266551.61079347413,266400.0,152.0
14363,240363.55042314282,240200.0,164.0
4398,182173.03875782856,182000.0,173.0
1038,107027.33386052676,107200.0,173.0
20283,175973.6639621321,175800.0,174.0
15369,146526.4532664131,146700.0,174.0
3453,180479.27476277252,180300.0,179.0
9662,68920.69425990712,69100.0,179.0
7474,132883.12430182614,132700.0,183.0
257,92484.28058776204,92300.0,184.0
1116,89689.07328384227,89500.0,189.0
17828,267996.32077126147,267800.0,196.0
5127,101600.90106424989,101800.0,199.0
13648,70699.58223427867,70900.0,200.0
14734,182405.36867043798,182200.0,205.0
11712,145591.6204435903,145800.0,208.0
7371,163125.3114526498,162900.0,225.0
1269,125630.17669372683,125400.0,230.0
10087,216767.61318119717,217000.0,232.0
990,327735.64324393566,327500.0,236.0
2139,77145.28618543089,76900.0,245.0
7193,153647.78287764805,153400.0,248.0
18845,81361.08595280332,81100.0,261.0
7480,115138.25375977674,115400.0,262.0
6747,270966.4897749,270700.0,266.0
4741,234368.4784336248,234100.0,268.0
6319,178729.36285049675,179000.0,271.0
5962,187323.27965579098,187600.0,277.0
7865,180621.1008187584,180900.0,279.0
7047,171079.58544260784,170800.0,280.0
7233,153991.28463472307,153700.0,291.0
18192,177808.1164081774,178100.0,292.0
766,152894.0750037268,152600.0,294.0
7011,155303.81970627556,155600.0,296.0
17549,174396.22536029396,174100.0,296.0
10909,175601.38755232267,175900.0,299.0
18015,287100.8876621884,286800.0,301.0
9441,69897.97618495466,70200.0,302.0
5632,186497.00959591215,186800.0,303.0
12652,75596.79232434611,75900.0,303.0
7737,196295.63447321646,196600.0,304.0
3851,215315.3848251018,215000.0,315.0
6757,292583.7875626526,292900.0,316.0
14765,132482.79727726112,132800.0,317.0
19740,84482.89034927479,84800.0,317.0
3430,146882.2483414019,147200.0,318.0
7128,208917.9312150258,208600.0,318.0
12647,99181.3063539679,99500.0,319.0
7827,181124.11359743963,180800.0,324.0
4511,149671.22379338418,150000.0,329.0
2959,72667.68181260288,73000.0,332.0
7670,173667.20196494876,174000.0,333.0
11433,350934.2446699174,350600.0,334.0
18512,233337.49230434487,233000.0,337.0
10890,150839.3013216095,150500.0,339.0
19500,98641.82170285247,98300.0,342.0
11205,161741.66810967526,161400.0,342.0
7278,116356.16576942391,116700.0,344.0
3111,52056.08842207992,52400.0,344.0
11244,175043.75491102497,174700.0,344.0
5626,159751.12565986926,160100.0,349.0
8281,249648.97066159392,250000.0,351.0
2165,67745.4214116006,68100.0,355.0
2768,58444.43113368447,58800.0,356.0
9910,162543.81689578915,162900.0,356.0
18818,62142.27711535216,62500.0,358.0
3915,207266.00512697364,206900.0,366.0
12120,135333.2157245072,135700.0,367.0
4431,115871.72188670342,115500.0,372.0
5905,160676.71755197822,160300.0,377.0
11230,208322.1543982187,208700.0,378.0
1101,140920.70843289132,141300.0,379.0
13883,109182.12320910385,108800.0,382.0
19199,165384.1361720741,165000.0,384.0
5233,95885.61323848265,95500.0,386.0
16318,119988.93963883028,119600.0,389.0
5860,230911.10740081218,231300.0,389.0
2860,101192.59495385634,100800.0,393.0
4841,135593.94498840012,135200.0,394.0
6237,167695.88916849045,167300.0,396.0
12838,97195.69609028657,96800.0,396.0
1034,124197.98106316754,123800.0,398.0
14773,143011.43408220288,142600.0,411.0
6363,130911.3329062798,130500.0,411.0
6972,236380.10549745543,236800.0,420.0
8378,160226.41167537545,159800.0,426.0
9933,158265.43327106102,158700.0,435.0
11363,207641.28584774132,207200.0,441.0
7401,92957.36840534027,93400.0,443.0
9598,75151.135118557,75600.0,449.0
2796,74650.84187217179,74200.0,451.0
9490,148847.33859990825,149300.0,453.0
17678,188554.716843694,188100.0,455.0
13003,111144.0954785271,111600.0,456.0
17317,215657.42701628033,215200.0,457.0
1795,95458.57032285925,95000.0,459.0
16764,288160.0122671728,287700.0,460.0
