,predicciones,valor real,diferencia
18536,240002.05056745483,240000.0,2.0
19635,124996.68737543834,125000.0,3.0
737,181597.09067588928,181600.0,3.0
17642,250017.84488393913,250000.0,18.0
8685,325221.32963670604,325200.0,21.0
14902,131078.3906197009,131100.0,22.0
6598,135674.4885136832,135700.0,26.0
606,180972.6660957844,181000.0,27.0
3111,52433.46923781198,52400.0,33.0
222,273032.5816131513,273000.0,33.0
20018,77360.78155087098,77400.0,39.0
7477,120959.57891110511,121000.0,40.0
9088,179745.40185271122,179700.0,45.0
17987,212450.77475623647,212500.0,49.0
20256,143549.79644528095,143500.0,50.0
2768,58856.578235191206,58800.0,57.0
12995,135438.12054110935,135500.0,62.0
2758,84636.99638098461,84700.0,63.0
13784,113563.42461940943,113500.0,63.0
11244,174634.477886801,174700.0,66.0
20023,76125.18418642471,76200.0,75.0
3016,128384.04114828352,128300.0,84.0
1214,132913.97776093654,133000.0,86.0
12242,77586.95285532757,77500.0,87.0
19663,86013.02607349778,86100.0,87.0
8381,146805.39612059278,146900.0,95.0
10220,162390.33095173788,162500.0,110.0
5819,255784.91103758127,255900.0,115.0
13477,122581.078361527,122700.0,119.0
4431,115619.88301753969,115500.0,120.0
763,166721.14256683632,166600.0,121.0
9515,82425.9340499154,82300.0,126.0
13188,121671.69992608827,121800.0,128.0
5925,248829.28627220856,248700.0,129.0
13883,108928.79675135529,108800.0,129.0
16862,228631.42775002238,228500.0,131.0
1236,123648.5595666637,123500.0,149.0
14621,163950.86788365047,164100.0,149.0
13274,192648.7970843098,192800.0,151.0
16521,99047.68518363085,99200.0,152.0
11940,118343.26863581559,118500.0,157.0
11275,203638.76839004783,203800.0,161.0
3625,178866.8061266449,178700.0,167.0
10620,290529.9712360616,290700.0,170.0
3594,253724.1497215047,253900.0,176.0
20014,98678.71857143205,98500.0,179.0
8687,283985.67924936255,283800.0,186.0
19338,172712.44523477415,172900.0,188.0
9175,135910.68664546125,136100.0,189.0
5906,164794.57051202958,164600.0,195.0
7002,158000.65056207438,158200.0,199.0
4182,244600.10081142304,244400.0,200.0
6274,157698.33513033984,157900.0,202.0
13514,105803.26993675082,105600.0,203.0
1957,127693.10498930234,127900.0,207.0
13806,55706.57130420758,55500.0,207.0
19664,122608.22516979463,122400.0,208.0
14127,94789.82769361156,95000.0,210.0
11329,175990.0168999352,176200.0,210.0
4400,213287.26057094737,213500.0,213.0
5061,99779.53121518751,100000.0,220.0
4822,229420.95146080066,229200.0,221.0
3042,65177.796565247234,65400.0,222.0
17407,115277.04321855871,115500.0,223.0
16610,141875.59835479566,142100.0,224.0
19812,146874.12079322204,147100.0,226.0
1008,177268.55136665335,177500.0,231.0
4430,151868.46143060416,152100.0,232.0
19284,183060.8284069136,183300.0,239.0
9480,71258.61882497228,71500.0,241.0
17396,121155.83985865163,121400.0,244.0
14002,112555.46531340724,112800.0,245.0
20277,231445.8941397681,231200.0,246.0
6655,169252.70412282384,169500.0,247.0
5966,150147.12877621787,150400.0,253.0
4772,171654.0015335753,171400.0,254.0
19232,176455.0597320479,176200.0,255.0
3257,62244.15910227463,62500.0,256.0
7401,93142.7890967548,93400.0,257.0
13880,101741.17685138027,102000.0,259.0
4485,111532.96283454954,111800.0,267.0
5905,160030.85923095408,160300.0,269.0
9645,103930.27323237841,104200.0,270.0
7155,194869.57616127207,194600.0,270.0
13822,115928.87706574309,116200.0,271.0
14285,118173.53543416876,117900.0,274.0
19719,71475.24398909244,71200.0,275.0
15211,217078.7897157602,216800.0,279.0
8499,218480.132534638,218200.0,280.0
9497,224719.50306299515,225000.0,280.0
9598,75881.86917817971,75600.0,282.0
12096,174182.25340326794,173900.0,282.0
4470,156785.04506636824,156500.0,285.0
11017,282085.00104851683,281800.0,285.0
11759,203405.7174206921,203700.0,294.0
13828,110195.01756067545,109900.0,295.0
6145,160203.89141130244,160500.0,296.0
3638,184298.9332579532,184600.0,301.0
745,153688.3396571137,154000.0,312.0
2133,66085.57010734663,66400.0,314.0
10536,397384.5137025971,397700.0,315.0
12666,103416.36591403233,103100.0,316.0
13451,130282.974254778,130600.0,317.0
9994,184781.52750459075,185100.0,318.0
11156,221020.04319767165,220700.0,320.0
15038,226477.25851506751,226800.0,323.0
7555,117730.01949926227,117400.0,330.0
18512,232665.6480054945,233000.0,334.0
833,154637.61749890557,154300.0,338.0
8211,129661.0177535105,130000.0,339.0
16037,243750.58407415915,244100.0,349.0
17008,282050.907821144,282400.0,349.0
19684,61849.81656738778,61500.0,350.0
3579,233253.93692010408,232900.0,354.0
7009,171063.81723807222,170700.0,364.0
4576,216334.17556533747,216700.0,366.0
19745,104673.36904899712,104300.0,373.0
20413,213173.74501639867,212800.0,374.0
6643,142678.3062623609,142300.0,378.0
4188,185018.67090616474,185400.0,381.0
17397,89815.04120508791,90200.0,385.0
721,169814.48669303732,170200.0,386.0
5709,200389.88067932788,200000.0,390.0
4436,173592.6833958872,173200.0,393.0
1065,86196.346365512,85800.0,396.0
10251,172096.31583939446,171700.0,396.0
2987,63299.09089687822,63700.0,401.0
7831,145000.67924058525,144600.0,401.0
14651,177896.65654197166,178300.0,403.0
6127,152984.430834472,153400.0,416.0
5171,90127.8983629662,89700.0,428.0
11494,287371.8490096658,287800.0,428.0
4841,134768.93178516475,135200.0,431.0
15041,133231.40804592607,132800.0,431.0
17697,179033.8276935363,178600.0,434.0
4476,147938.0852986155,147500.0,438.0
2283,72361.9017400711,72800.0,438.0
